ID,Titulo,Spotify Link,Youtube Link,Apple Link,Imagen Cover
2dtwWgtZDKgox5C1n3FoUV,No quiero ser cristiano para ser como tu,https://open.spotify.com/track/2dtwWgtZDKgox5C1n3FoUV,https://music.youtube.com/search?q=No%20quiero%20ser%20cristiano%20para%20ser%20como%20tu%20Diosmasgym,https://music.apple.com/us/search?term=No%20quiero%20ser%20cristiano%20para%20ser%20como%20tu%20Diosmasgym,https://i.scdn.co/image/ab67616d0000b27362a720028153e14b1ec91c48
6N7YharU63WGmQKzJ55Bll,Como se puede evitar los celos entre pareja,https://open.spotify.com/track/6N7YharU63WGmQKzJ55Bll,https://music.youtube.com/search?q=Como%20se%20puede%20evitar%20los%20celos%20entre%20pareja%20Diosmasgym,https://music.apple.com/us/search?term=Como%20se%20puede%20evitar%20los%20celos%20entre%20pareja%20Diosmasgym,https://i.scdn.co/image/ab67616d0000b27362a720028153e14b1ec91c48
2jPQClC2pjAdmd2MvCReC2,Â¿por quÃ© nos gustamos? somos tan diferentes,https://open.spotify.com/track/2jPQClC2pjAdmd2MvCReC2,https://music.youtube.com/search?q=%C2%BFpor%20qu%C3%A9%20nos%20gustamos%3F%20somos%20tan%20diferentes%20Diosmasgym,https://music.apple.com/us/search?term=%C2%BFpor%20qu%C3%A9%20nos%20gustamos%3F%20somos%20tan%20diferentes%20Diosmasgym,https://i.scdn.co/image/ab67616d0000b27362a720028153e14b1ec91c48
6IXPCHGrulhrDbEbUwTIAO,El otro es el culpable,https://open.spotify.com/track/6IXPCHGrulhrDbEbUwTIAO,https://music.youtube.com/search?q=El%20otro%20es%20el%20culpable%20Diosmasgym,https://music.apple.com/us/search?term=El%20otro%20es%20el%20culpable%20Diosmasgym,https://i.scdn.co/image/ab67616d0000b27362a720028153e14b1ec91c48
6L4ggEQ2AgdCBhzriupwK2,El Primer Corrido Tumbado que No Habla de Drogas ni de Morras,https://open.spotify.com/track/6L4ggEQ2AgdCBhzriupwK2,https://music.youtube.com/search?q=El%20Primer%20Corrido%20Tumbado%20que%20No%20Habla%20de%20Drogas%20ni%20de%20Morras%20Diosmasgym,https://music.apple.com/us/search?term=El%20Primer%20Corrido%20Tumbado%20que%20No%20Habla%20de%20Drogas%20ni%20de%20Morras%20Diosmasgym,https://i.scdn.co/image/ab67616d0000b27362a720028153e14b1ec91c48
0P3BeVGl15hcnuTxyLdwRI,La canciÃ³n Que Hace Enojar a los Religiosos,https://open.spotify.com/track/0P3BeVGl15hcnuTxyLdwRI,https://music.youtube.com/search?q=La%20canci%C3%B3n%20Que%20Hace%20Enojar%20a%20los%20Religiosos%20Diosmasgym,https://music.apple.com/us/search?term=La%20canci%C3%B3n%20Que%20Hace%20Enojar%20a%20los%20Religiosos%20Diosmasgym,https://i.scdn.co/image/ab67616d0000b27362a720028153e14b1ec91c48
6ecX6tNcsSGQ6fikpaoWvG,El Silencio Lastima Mas Que La Verdad,https://open.spotify.com/track/6ecX6tNcsSGQ6fikpaoWvG,https://music.youtube.com/search?q=El%20Silencio%20Lastima%20Mas%20Que%20La%20Verdad%20Diosmasgym,https://music.apple.com/us/search?term=El%20Silencio%20Lastima%20Mas%20Que%20La%20Verdad%20Diosmasgym,https://i.scdn.co/image/ab67616d0000b27362a720028153e14b1ec91c48
5fRzXugWHtpKNxgcvwg8jd,Dios me adoptÃ³,https://open.spotify.com/track/5fRzXugWHtpKNxgcvwg8jd,https://music.youtube.com/search?q=Dios%20me%20adopt%C3%B3%20Diosmasgym,https://music.apple.com/us/search?term=Dios%20me%20adopt%C3%B3%20Diosmasgym,https://i.scdn.co/image/ab67616d0000b27362a720028153e14b1ec91c48
5JBe67QEsM8PjLGpxqI1ds,Mi Maestra catÃ³lica me Dijo que mi Fe era un Chiste (y esto fue lo que pasÃ³),https://open.spotify.com/track/5JBe67QEsM8PjLGpxqI1ds,https://music.youtube.com/search?q=Mi%20Maestra%20cat%C3%B3lica%20me%20Dijo%20que%20mi%20Fe%20era%20un%20Chiste%20(y%20esto%20fue%20lo%20que%20pas%C3%B3)%20Diosmasgym,https://music.apple.com/us/search?term=Mi%20Maestra%20cat%C3%B3lica%20me%20Dijo%20que%20mi%20Fe%20era%20un%20Chiste%20(y%20esto%20fue%20lo%20que%20pas%C3%B3)%20Diosmasgym,https://i.scdn.co/image/ab67616d0000b27362a720028153e14b1ec91c48
7GIM8dcxBoBc4q2mFpfIir,Â¿Coqueta o Seria? (CuÃ¡l Atrae a los Hombres que Valen la Pena),https://open.spotify.com/track/7GIM8dcxBoBc4q2mFpfIir,https://music.youtube.com/search?q=%C2%BFCoqueta%20o%20Seria%3F%20(Cu%C3%A1l%20Atrae%20a%20los%20Hombres%20que%20Valen%20la%20Pena)%20Diosmasgym,https://music.apple.com/us/search?term=%C2%BFCoqueta%20o%20Seria%3F%20(Cu%C3%A1l%20Atrae%20a%20los%20Hombres%20que%20Valen%20la%20Pena)%20Diosmasgym,https://i.scdn.co/image/ab67616d0000b27362a720028153e14b1ec91c48
